,Params,Score
84,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 10}",-51442711427.850716
85,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 100}",-6638454157.87844
86,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4082009980.7016907
87,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3025442343.2348757
88,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 10}",-37476323658.9954
89,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 100}",-35599508176.205956
90,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 1000}",-16039202526.418875
91,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 10000}",-22978753403.87345
92,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 10}",-50302331169.89591
93,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 100}",-47484198413.25585
94,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 1000}",-55921980324.56002
95,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 10000}",-32431312248.92982
96,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10}",-56191025522.24819
97,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 100}",-50552058977.17617
98,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 1000}",-8811604790.620527
99,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4189818604.8190737
100,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10}",-53182852766.45593
101,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 100}",-8994384537.366522
102,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 1000}",-4932122118.780744
103,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10000}",-4037665963.8954973
104,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10}",-14157274674.88306
105,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 100}",-5229656564.578436
106,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 1000}",-4167718744.2457542
107,"{'batch_size': 5000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10000}",-4146170515.8912253
108,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10}",-56164032032.57717
109,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 100}",-44939974671.98505
110,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-8269221081.580193
111,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4070535063.4148445
112,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10}",-50411847914.896965
113,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 100}",-8576019122.249258
114,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 1000}",-4684739675.951424
115,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10000}",-3908972027.3863463
116,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 10}",-11051171477.062
117,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 100}",-5134827065.208048
